Cod_setor;Situacao_setor;V062;V063;V064;V065;V066;V067;V068;V081;V082;V083;V084;V085;V086;V087
230070505000005;1;13;23;15;4;1;3;5;14;14;11;3;1;2;8
230070505000006;1;20;29;19;7;1;3;9;13;20;12;2;0;1;14
230070505000007;2;5;8;6;5;2;5;3;2;4;3;4;1;5;1
230070505000008;1;34;35;29;18;5;3;14;28;21;17;9;4;2;22
230070505000009;1;17;17;18;6;1;2;10;33;32;34;13;7;5;14
230070505000010;1;4;9;13;1;0;4;5;1;2;3;0;0;0;3
230070505000011;8;0;1;0;1;1;0;0;0;1;0;0;1;0;0
230070505000012;8;39;52;42;35;20;12;16;5;5;8;1;1;4;1
230070505000013;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230070505000014;1;11;12;9;1;4;1;10;23;17;14;7;4;3;12
230070505000015;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230070505000016;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230070505000017;1;22;41;27;17;11;22;13;13;11;9;6;7;10;6
230070505000018;1;5;5;7;3;3;0;4;9;4;8;5;0;1;7
230070505000020;1;20;37;21;15;10;3;3;17;18;13;9;5;1;4
230070505000021;1;20;21;13;12;4;4;7;10;10;10;3;3;3;6
230070508000001;1;17;17;12;4;4;2;5;3;7;6;1;1;1;5
230070508000002;8;35;24;25;15;7;4;7;9;8;1;5;2;0;1
230070508000003;8;16;54;20;21;7;6;15;6;7;2;3;3;2;1
230070508000004;8;22;20;15;9;7;4;7;7;6;3;3;1;1;3
230070508000005;8;0;0;2;1;0;0;0;3;0;0;0;0;0;0
230070508000006;8;4;4;6;2;3;0;1;1;0;0;0;0;0;0
230070508000007;8;13;18;6;8;2;2;1;1;1;5;1;0;0;0
230070508000008;8;0;2;4;3;1;1;2;0;0;2;0;0;0;0
230070508000009;8;15;24;17;12;3;7;4;3;4;2;2;0;1;3
230070508000011;8;11;16;30;17;4;6;5;2;0;2;0;0;1;0
230070508000012;8;10;10;18;9;2;9;2;3;8;3;1;0;2;2
230070510000001;1;20;30;38;31;14;14;12;14;19;16;9;3;7;4
230070510000002;8;11;21;19;15;7;9;6;5;3;2;1;2;1;1
230070512000001;1;12;17;14;9;4;4;6;7;7;3;3;1;0;2
230070512000002;8;17;30;26;12;5;9;10;3;2;4;4;1;3;5
230070512000003;8;18;20;15;12;6;3;19;12;20;15;9;7;3;9
230070512000004;8;2;4;2;3;3;1;5;5;7;5;4;5;8;3
230070515000001;1;1;2;2;6;7;2;0;0;1;0;1;0;0;0
230070515000002;8;30;41;27;22;15;12;13;7;9;6;3;0;2;1
230070515000003;8;6;12;4;3;4;5;2;0;0;1;1;0;0;0
230070515000004;8;16;19;7;6;4;1;2;1;3;1;0;0;0;1
230070515000005;8;1;5;8;8;1;5;0;1;0;0;0;0;0;0
230070520000001;1;2;12;10;3;2;1;4;2;0;1;3;0;1;1
230070520000002;8;20;29;20;16;5;12;7;8;4;10;1;1;3;4
230070525000001;1;3;4;14;2;6;2;1;5;4;4;2;2;1;2
230070525000002;8;21;16;17;10;12;6;14;11;7;5;6;2;3;5
230070525000003;8;9;15;9;14;4;2;6;4;6;2;1;1;1;5
230070525000004;8;8;14;13;14;5;5;6;2;2;3;1;1;4;10
230075405000001;1;8;14;8;4;4;2;7;17;26;20;15;9;7;6
230075405000002;1;32;28;34;21;13;4;18;31;26;22;8;6;1;21
230075405000003;1;20;27;26;14;9;7;25;28;32;23;12;0;3;15
230075405000004;1;23;24;39;19;8;9;12;10;15;20;8;5;5;11
230075405000005;1;25;44;32;23;11;15;20;24;18;17;12;11;11;5
230075405000006;1;26;35;31;20;7;3;16;12;22;21;15;10;10;9
