"key","position","name"
"conf/aaai/AkkirajuSIGS06",0,"Rama Akkiraju"
"conf/aaai/AkkirajuSIGS06",1,"Biplav Srivastava"
"conf/aaai/AkkirajuSIGS06",2,"Anca-Andreea Ivan"
"conf/aaai/AkkirajuSIGS06",3,"Richard Goodwin"
"conf/aaai/AkkirajuSIGS06",4,"Tanveer Fathima Syeda-Mahmood"
"conf/aaai/AktolgaRAD11",0,"Elif Aktolga"
"conf/aaai/AktolgaRAD11",1,"Irene Ros"
"conf/aaai/AktolgaRAD11",2,"Yannick Assogba"
"conf/aaai/AktolgaRAD11",3,"Joan Morris DiMicco"
"conf/aaai/Al-BakriALR15",0,"Mustafa Al-Bakri"
"conf/aaai/Al-BakriALR15",1,"Manuel Atencia"
"conf/aaai/Al-BakriALR15",2,"Steffen Lalande"
"conf/aaai/Al-BakriALR15",3,"Marie-Christine Rousset"
"conf/aaai/Al-OnaizanGHKKMY00",0,"Yaser Al-Onaizan"
"conf/aaai/Al-OnaizanGHKKMY00",1,"Ulrich Germann"
"conf/aaai/Al-OnaizanGHKKMY00",2,"Ulf Hermjakob"
"conf/aaai/Al-OnaizanGHKKMY00",3,"Kevin Knight"
"conf/aaai/Al-OnaizanGHKKMY00",4,"Philipp Koehn"
"conf/aaai/Al-OnaizanGHKKMY00",5,"Daniel Marcu"
"conf/aaai/Al-OnaizanGHKKMY00",6,"Kenji Yamada"
"conf/aaai/Al-ShedivatWAHG14",0,"Maruan Al-Shedivat"
"conf/aaai/Al-ShedivatWAHG14",1,"Jim Jing-Yan Wang"
"conf/aaai/Al-ShedivatWAHG14",2,"Majed Alzahrani"
"conf/aaai/Al-ShedivatWAHG14",3,"Jianhua Z. Huang"
"conf/aaai/Al-ShedivatWAHG14",4,"Xin Gao"
"conf/aaai/Al-ZaidyCG16",0,"Rabah A. Al-Zaidy"
"conf/aaai/Al-ZaidyCG16",1,"Sagnik Ray Choudhury"
"conf/aaai/Al-ZaidyCG16",2,"C. Lee Giles"
"conf/aaai/AlabdulmohsinGZ15",0,"Ibrahim M. Alabdulmohsin"
"conf/aaai/AlabdulmohsinGZ15",1,"Xin Gao"
"conf/aaai/AlabdulmohsinGZ15",2,"Xiangliang Zhang"
"conf/aaai/AlamRR13",0,"Muddasser Alam"
"conf/aaai/AlamRR13",1,"Alex Rogers"
"conf/aaai/AlamRR13",2,"Sarvapali D. Ramchurn"
"conf/aaai/AlbaDGLMNWCQ16",0,"Alfredo Alba"
"conf/aaai/AlbaDGLMNWCQ16",1,"Clemens Drews"
"conf/aaai/AlbaDGLMNWCQ16",2,"Daniel Gruhl"
"conf/aaai/AlbaDGLMNWCQ16",3,"Neal Lewis"
"conf/aaai/AlbaDGLMNWCQ16",4,"Pablo N. Mendes"
"conf/aaai/AlbaDGLMNWCQ16",5,"Meenakshi Nagarajan"
"conf/aaai/AlbaDGLMNWCQ16",6,"Steve Welch"
"conf/aaai/AlbaDGLMNWCQ16",7,"Anni Coden"
"conf/aaai/AlbaDGLMNWCQ16",8,"Ashequl Qadir"
"conf/aaai/AlbertCL15",0,"Michael Albert"
"conf/aaai/AlbertCL15",1,"Vincent Conitzer"
"conf/aaai/AlbertCL15",2,"Giuseppe Lopomo"
"conf/aaai/AlbertCL16",0,"Michael Albert"
"conf/aaai/AlbertCL16",1,"Vincent Conitzer"
"conf/aaai/AlbertCL16",2,"Giuseppe Lopomo"
"conf/aaai/AlbinaliG06",0,"Fahd Albinali"
"conf/aaai/AlbinaliG06",1,"Chris Gniady"
"conf/aaai/AlboreABGLS06",0,"Alexandre Albore"
"conf/aaai/AlboreABGLS06",1,"Natasha Alechina"
"conf/aaai/AlboreABGLS06",2,"Piergiorgio Bertoli"
"conf/aaai/AlboreABGLS06",3,"Chiara Ghidini"
"conf/aaai/AlboreABGLS06",4,"Brian Logan"
"conf/aaai/AlboreABGLS06",5,"Luciano Serafini"
"conf/aaai/AlboreB04",0,"Alexandre Albore"
"conf/aaai/AlboreB04",1,"Piergiorgio Bertoli"
"conf/aaai/AlbrechtCR15",0,"Stefano Vittorino Albrecht"
"conf/aaai/AlbrechtCR15",1,"Jacob William Crandall"
"conf/aaai/AlbrechtCR15",2,"Subramanian Ramamoorthy"
"conf/aaai/AlechinaBDHHLNZ13",0,"Natasha Alechina"
"conf/aaai/AlechinaBDHHLNZ13",1,"Tristan M. Behrens"
"conf/aaai/AlechinaBDHHLNZ13",2,"Mehdi Dastani"
"conf/aaai/AlechinaBDHHLNZ13",3,"Koen V. Hindriks"
"conf/aaai/AlechinaBDHHLNZ13",4,"Jomi Fred Hübner"
"conf/aaai/AlechinaBDHHLNZ13",5,"Brian Logan"
"conf/aaai/AlechinaBDHHLNZ13",6,"Hai H. Nguyen"
"conf/aaai/AlechinaBDHHLNZ13",7,"Marc van Zee"
"conf/aaai/AlechinaDLM07",0,"Natasha Alechina"
"conf/aaai/AlechinaDLM07",1,"Mehdi Dastani"
"conf/aaai/AlechinaDLM07",2,"Brian Logan"
"conf/aaai/AlechinaDLM07",3,"John-Jules Ch. Meyer"
"conf/aaai/AleksandrowiczCHI14",0,"Gadi Aleksandrowicz"
"conf/aaai/AleksandrowiczCHI14",1,"Hana Chockler"
"conf/aaai/AleksandrowiczCHI14",2,"Joseph Y. Halpern"
"conf/aaai/AleksandrowiczCHI14",3,"Alexander Ivrii"
"conf/aaai/AlexanderZ05",0,"Scott Alexander"
"conf/aaai/AlexanderZ05",1,"Jianna Zhang"
"conf/aaai/AlfeldZB16",0,"Scott Alfeld"
"conf/aaai/AlfeldZB16",1,"Xiaojin Zhu 0001"
"conf/aaai/AlfeldZB16",2,"Paul Barford"
"conf/aaai/AlharbiQZ16",0,"Basma Alharbi"
"conf/aaai/AlharbiQZ16",1,"Abdulhakim Ali Qahtan"
"conf/aaai/AlharbiQZ16",2,"Xiangliang Zhang"
"conf/aaai/AliCK14",0,"Alnur Ali"
"conf/aaai/AliCK14",1,"Rich Caruana"
"conf/aaai/AliCK14",2,"Ashish Kapoor"
"conf/aaai/AlipanahiBG08",0,"Babak Alipanahi"
"conf/aaai/AlipanahiBG08",1,"Michael Biggs"
"conf/aaai/AlipanahiBG08",2,"Ali Ghodsi"
"conf/aaai/Alkalay-HoulihanV14",0,"Colleen Alkalay-Houlihan"
"conf/aaai/Alkalay-HoulihanV14",1,"Adrian Vetta"
"conf/aaai/Allen14",0,"Thomas E. Allen"
"conf/aaai/Allen15",0,"Thomas E. Allen"
"conf/aaai/AllenCFGJST07",0,"James F. Allen"
"conf/aaai/AllenCFGJST07",1,"Nathanael Chambers"
"conf/aaai/AllenCFGJST07",2,"George Ferguson"
"conf/aaai/AllenCFGJST07",3,"Lucian Galescu"
"conf/aaai/AllenCFGJST07",4,"Hyuckchul Jung"
"conf/aaai/AllenCFGJST07",5,"Mary D. Swift"
"conf/aaai/AllenCFGJST07",6,"William Taysom"
"conf/aaai/AllenGJMR16",0,"Thomas E. Allen"
"conf/aaai/AllenGJMR16",1,"Judy Goldsmith"
"conf/aaai/AllenGJMR16",2,"Hayden Elizabeth Justice"
"conf/aaai/AllenGJMR16",3,"Nicholas Mattei"
"conf/aaai/AllenGJMR16",4,"Kayla Raines"
"conf/aaai/AllenGM14",0,"Thomas E. Allen"
